pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
822,444482,"Peralta, David",822,100,0.3,0.133,0.361,0.433,0.333,0.295,0.257,61,203,89.2,6.4,2288,89.4,88.94,81,383,439,-0.5,6.17,117,156,126,151,294,325,308
821,673451,"Akiyama, Shogo",821,100,0.245,0.052,0.314,0.297,0.304,0.313,0.243,38,155,85.1,2.9,2312,88.6,88.82,67,350,471,0.2,6.36,113,145,108,149,282,315,298
821,516416,"Segura, Jean",821,100,0.266,0.156,0.314,0.422,0.333,0.318,0.25,51,192,86.8,11.4,2235,88.4,88.36,85,384,437,0,6.27,106,151,115,148,303,321,283
821,543807,"Springer, George",821,100,0.265,0.275,0.259,0.54,0.379,0.4,0.29,50,189,88.7,18.3,2264,89.1,88.58,99,392,429,-0.5,6.27,107,152,120,146,305,329,297
811,500871,"Escobar, Eduardo",811,100,0.212,0.123,0.244,0.335,0.257,0.305,0.261,43,203,88.6,18.1,2247,89.7,89.4,90,417,394,-0.3,6.19,114,156,125,148,297,325,299
810,622682,"Reyes, Victor",810,100,0.277,0.114,0.34,0.391,0.31,0.331,0.286,56,202,89.4,10.2,2266,88.2,88.33,116,439,371,0.1,6.33,111,152,110,151,295,326,298
809,592567,"Moran, Colin",809,100,0.247,0.225,0.291,0.472,0.34,0.348,0.252,44,178,91.5,8,2268,88.3,88.45,113,404,405,0.1,6.34,117,162,127,153,297,323,299
809,518792,"Heyward, Jason",809,100,0.265,0.19,0.311,0.456,0.372,0.385,0.287,39,147,87.6,11.3,2299,88.3,88.55,70,299,510,0.2,6.46,115,154,123,151,293,323,305
807,608369,"Seager, Corey",807,100,0.307,0.278,0.309,0.585,0.394,0.427,0.326,65,212,93.2,11.9,2251,88.7,87.81,116,449,358,-0.9,6.13,116,157,136,152,299,327,308
805,542340,"Villar, Jonathan",805,100,0.232,0.059,0.313,0.292,0.266,0.255,0.211,43,185,85.7,2.5,2177,88.8,88.9,133,415,390,0.1,6.45,110,147,107,148,291,318,294
805,650391,"Jiménez, Eloy",805,100,0.296,0.263,0.34,0.559,0.373,0.368,0.282,63,213,92.4,5.7,2285,87.4,87.62,128,438,367,0.2,6.31,105,152,120,145,305,331,299
805,606132,"Tapia, Raimel",805,100,0.321,0.082,0.392,0.402,0.338,0.29,0.251,59,184,85,1.4,2303,89.9,89.93,77,411,394,0,6.21,113,150,108,151,293,327,308
804,643446,"McNeil, Jeff",804,100,0.311,0.142,0.335,0.454,0.359,0.335,0.276,57,183,86.6,11.5,2162,88,87.84,80,458,346,-0.2,6.4,113,146,114,148,288,319,296
802,503556,"Gonzalez, Marwin",802,100,0.211,0.109,0.241,0.32,0.269,0.314,0.24,37,175,88.8,12.3,2295,87.2,87.3,81,345,457,0.1,6.29,112,153,116,149,296,324,298
799,643396,"Kiner-Falefa, Isiah",799,100,0.28,0.09,0.316,0.37,0.307,0.294,0.26,59,211,87,0.8,2288,88.3,88.05,60,379,420,-0.2,6.14,110,151,117,147,303,323,288
798,594807,"Duvall, Adam",798,100,0.237,0.295,0.24,0.532,0.348,0.34,0.227,45,190,88.1,22.9,2223,87.8,88.01,106,391,407,0.2,6.42,106,151,120,144,305,324,294
794,446334,"Longoria, Evan",794,100,0.254,0.171,0.28,0.425,0.308,0.362,0.28,49,193,91.7,10.7,2334,88.7,87.56,75,357,437,-1.1,6.16,109,152,122,146,303,326,298
791,429665,"Encarnación, Edwin",791,100,0.157,0.22,0.156,0.377,0.272,0.277,0.161,25,159,85.4,22.8,2341,87.8,87.7,118,362,429,-0.1,6.35,105,152,120,144,302,330,300
789,493329,"Gurriel, Yuli",789,100,0.232,0.152,0.235,0.384,0.281,0.315,0.262,49,211,89.3,13.9,2270,89.1,88.82,60,385,404,-0.3,6.33,106,151,121,146,298,327,296
788,547004,"Ruiz, Rio",788,100,0.222,0.205,0.244,0.427,0.303,0.276,0.211,41,185,87.6,10.1,2209,88.5,88.66,112,410,378,0.2,6.4,115,154,125,147,288,320,298
786,641313,"Anderson, Tim",786,100,0.322,0.207,0.383,0.529,0.376,0.357,0.291,67,208,87.2,6.7,2311,88,87.96,134,434,352,0,6.3,105,151,114,146,300,325,287
783,608385,"Winker, Jesse",783,100,0.255,0.289,0.283,0.544,0.396,0.395,0.263,38,149,92.1,10.4,2321,87.9,88.13,91,315,468,0.2,6.37,116,159,128,152,292,326,303
779,543877,"Vázquez, Christian",779,100,0.283,0.173,0.341,0.457,0.345,0.284,0.221,49,173,88.4,14.3,2224,89.2,89.36,85,371,408,0.2,6.42,106,150,119,148,295,317,287
775,592348,"Goodrum, Niko",775,100,0.184,0.152,0.276,0.335,0.262,0.265,0.183,29,158,88.8,15.9,2266,87.9,87.98,133,345,430,0.1,6.29,114,153,118,153,295,326,295
774,596142,"Sánchez, Gary",774,100,0.147,0.218,0.159,0.365,0.271,0.312,0.191,23,156,91.8,19.1,2242,88.3,88.43,115,338,436,0.1,6.38,106,152,122,146,304,325,289
773,663586,"Riley, Austin",773,100,0.239,0.176,0.28,0.415,0.307,0.333,0.257,45,188,91,13.5,2215,87.9,88.26,126,419,354,0.4,6.48,105,151,120,145,305,323,293
772,641658,"Hampson, Garrett",772,100,0.234,0.15,0.33,0.383,0.29,0.295,0.229,39,167,79.6,10,2280,89.7,89.85,97,334,438,0.1,6.28,106,150,105,146,304,326,292
